sample_n,real,imag
       1133,     -16384,      -1024
       1134,     -16384,      -1024
       1135,     -16384,      -1024
       1136,     -16384,      -1024
       1137,     -15360,          0
       1138,     -15360,          0
       1139,     -15360,      -1024
       1140,     -15360,      -1024
       1141,     -15360,      -1024
       1142,     -14336,          0
       1143,     -14336,          0
       1144,     -14336,      -1024
       1145,     -14336,          0
       1146,     -13312,          0
       1147,     -13312,      -1024
       1148,     -13312,      -1024
       1149,     -13312,      -1024
       1150,     -12288,      -1024
       1151,     -12288,          0
       1152,     -12288,          0
       1153,     -11264,          0
       1154,     -11264,          0
       1155,     -11264,          0
       1156,     -10240,          0
       1157,     -10240,          0
       1158,      -9216,      -1024
       1159,      -9216,      -1024
       1160,      -9216,      -1024
       1161,      -8192,      -1024
       1162,      -8192,          0
       1163,      -7168,          0
       1164,      -7168,          0
       1165,      -7168,      -1024
       1166,      -6144,          0
       1167,      -5120,          0
       1168,      -5120,      -1024
       1169,      -5120,      -1024
       1170,      -4096,      -1024
       1171,      -4096,      -1024
       1172,      -3072,          0
       1173,      -3072,          0
       1174,      -2048,          0
       1175,      -2048,          0
       1176,      -1024,          0
       1177,      -1024,          0
       1178,          0,          0
       1179,          0,      -1024
       1180,          0,          0
       1181,          0,          0
       1182,       1024,          0
       1183,       1024,          0
       1184,       2048,          0
       1185,       2048,      -1024
       1186,       3072,      -1024
       1187,       3072,          0
       1188,       3072,          0
       1189,       4096,          0
       1190,       4096,      -1024
       1191,       5120,          0
       1192,       5120,          0
       1193,       6144,      -1024
       1194,       6144,          0
       1195,       6144,      -1024
       1196,       7168,          0
       1197,       7168,          0
       1198,       8192,          0
       1199,       8192,          0
       1200,       8192,      -1024
       1201,       9216,      -1024
       1202,       9216,      -1024
       1203,       9216,      -1024
       1204,      10240,          0
       1205,      10240,      -1024
       1206,      11264,      -1024
       1207,      11264,          0
       1208,      11264,          0
       1209,      11264,          0
       1210,      12288,      -1024
       1211,      12288,          0
       1212,      12288,      -1024
       1213,      12288,      -1024
       1214,      13312,      -1024
       1215,      13312,          0
       1216,      13312,          0
       1217,      13312,      -1024
       1218,      13312,          0
       1219,      13312,      -1024
       1220,      14336,      -1024
       1221,      14336,      -1024
       1222,      14336,      -1024
       1223,      14336,      -1024
       1224,      14336,          0
       1225,      14336,          0
       1226,      14336,          0
       1227,      14336,      -1024
       1228,      14336,          0
       1229,      14336,          0
       1230,      14336,      -1024
       1231,      14336,      -1024
       1232,      14336,          0
       1233,      14336,      -1024
       1234,      14336,      -1024
       1235,      14336,      -1024
       1236,      14336,      -1024
       1237,      14336,      -1024
       1238,      13312,          0
       1239,      13312,      -1024
       1240,      13312,      -1024
       1241,      13312,          0
       1242,      13312,          0
       1243,      13312,      -1024
       1244,      12288,      -1024
       1245,      12288,      -1024
       1246,      12288,      -1024
       1247,      12288,      -1024
       1248,      11264,          0
       1249,      11264,      -1024
